# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11992
#@/user_id	Family-Windows11
a 	啊	c=124 d=2.86226 t=11992
da cu o le 	打錯哦了	c=1 d=1 t=549
da de 	大的	c=1 d=0.1 t=7078
da de 	打得	c=0 d=0.1 t=10337
da de chu lai 	打得出來	c=1 d=1 t=4022
da de hen 	大得很	c=1 d=1 t=3742
da de ye hai xing 	打得也還行	c=1 d=1 t=10338
da dian hua 	打電話	c=2 d=1.00441 t=9466
da fu du 	大幅度	c=0 d=0.1 t=5188
da ge dian hua 	打個電話	c=1 d=0.0415857 t=11992
da gong si 	大公司	c=1 d=1 t=2144
da jia 	大家	c=2 d=1.00001 t=6009
da kai 	打開	c=2 d=1.05234 t=668
da la si 	達拉斯	c=0 d=0.1 t=5190
da lao 	大佬	c=2 d=1 t=3721
da mi 	大米	c=4 d=1.02025 t=10406
da mie 	達咩	c=1 d=1 t=4438
da niang 	大娘	c=1 d=1 t=3551
da pi liang 	大批量	c=1 d=1 t=5833
da rao 	打擾	c=1 d=1 t=7524
da rao le 	打擾了	c=1 d=1 t=6591
da rong cheng 	大融城	c=1 d=1 t=4143
da shai fa 	大篩法	c=0 d=0.1 t=5602
da sheng fo jiao 	大乘佛教	c=0 d=0.1 t=5190
da shi ba 	大石壩	c=1 d=1 t=2951
da shi fu 	大師父	c=0 d=0.1 t=5601
da shu 	大叔	c=1 d=1 t=4225
da suan 	打算	c=5 d=1.00227 t=7102
da te 	達特	c=1 d=1 t=4183
da wan 	打完	c=0 d=0.00197421 t=11992
da xiao 	大小	c=1 d=1 t=2545
da xiao 	打消	c=1 d=1 t=4556
da xing 	大型	c=1 d=1 t=10238
da ye 	大夜	c=1 d=1 t=7361
da ye 	大業	c=0 d=0.1 t=876
da yin 	打印	c=1 d=1 t=11709
da ying 	答應	c=1 d=1 t=7702
da ying wo 	答應我	c=2 d=1 t=11333
da yu 	大于	c=2 d=1.13266 t=11794
da zhang 	打仗	c=1 d=1 t=3284
da zhe 	打着	c=1 d=1 t=9849
dai 	帶	c=4 d=1 t=11031
dai 	待	c=2 d=1.0017 t=11229
dai ban 	待辦	c=26 d=2.14439 t=11223
dai ban biao 	待辦表	c=1 d=1 t=10677
dai dian 	代墊	c=1 d=1 t=11187
dai dian 	帶點	c=1 d=1 t=11188
dai er ji 	帶耳機	c=1 d=1 t=8401
dai hui jia 	帶回家	c=1 d=1 t=9366
dai jie dan 	待接單	c=5 d=2.01937 t=8095
dai li 	代理	c=7 d=2.8884 t=6760
dai lu 	帶路	c=0 d=0.0980199 t=11992
dai ma 	代碼	c=15 d=1.00321 t=10982
dai ma bei 	代碼唄	c=1 d=1 t=4110
dai qi 	帶起	c=1 d=1 t=8421
dai ru 	帶入	c=1 d=1 t=5214
dai wo 	帶我	c=1 d=0.0262524 t=11992
dai yu 	待遇	c=2 d=2.03041 t=1369
dai zai 	待在	c=1 d=0.266127 t=3763
dai zai zhe bian 	待在這邊	c=1 d=1 t=3764
dai zhe 	帶着	c=0 d=0.1 t=8413
dan 	但	c=0 d=0.1 t=10341
dan 	單	c=2 d=0.064421 t=11992
dan du 	單獨	c=2 d=0.182684 t=11992
dan ge 	單個	c=1 d=1 t=4920
dan hao 	單號	c=1 d=1 t=7611
dan jian 	單件	c=0 d=0.1 t=1182
dan jian pei tao 	單件配套	c=2 d=1.8781 t=1209
dan shi 	但是	c=5 d=1.11739 t=4979
dan wu 	耽誤	c=1 d=0.0424257 t=11992
dan yi 	單一	c=0 d=0.1 t=4563
dan yi dian de 	單一點的	c=1 d=1 t=4564
dan zi 	單子	c=24 d=1.69172 t=11367
dang qian 	當前	c=5 d=1 t=11792
dang shi 	當時	c=2 d=1 t=10164
dang tian 	當天	c=1 d=1 t=1769
dao 	到	c=28 d=0.0799868 t=11992
dao 	導	c=1 d=1 t=2556
dao bi 	倒閉	c=1 d=1 t=10834
dao chu 	倒出	c=3 d=0.25284 t=11992
dao chu 	到處	c=1 d=1 t=7676
dao chu lai 	倒出來	c=1 d=0.0713613 t=11992
dao de 	到的	c=0 d=0.1 t=6583
dao di 	到底	c=0 d=0.1 t=2751
dao di kan le mei 	到底看了沒	c=1 d=1 t=2752
dao di shi 	到底是	c=1 d=1 t=2921
dao le 	倒了	c=1 d=1 t=240
dao le 	到了	c=1 d=0.292292 t=11992
dao le mei 	到了沒	c=1 d=0.1 t=10991
dao mu qian 	到目前	c=1 d=1 t=5113
dao na 	到哪	c=0 d=0.1 t=1234
dao na ge 	到那個	c=1 d=1 t=10651
dao na le 	到哪了	c=1 d=1 t=6980
dao na li 	到那裏	c=2 d=1.8825 t=11486
dao na yi bu 	到哪一步	c=2 d=1 t=10472
dao qi 	到期	c=1 d=1.09501 t=10959
dao ru 	倒入	c=0 d=0.00769191 t=11992
dao ru 	導入	c=3 d=2.7672 t=2578
dao ru dao 	倒入到	c=1 d=0.0773048 t=11992
dao shi 	到時	c=2 d=1 t=8297
dao shi hou 	到時候	c=5 d=0.0769191 t=11992
dao shou 	到手	c=1 d=1 t=5628
dao xian zai 	到現在	c=1 d=1 t=1213
dao zhe bian 	到這邊	c=1 d=1 t=10371
dao zhi 	導致	c=1 d=1 t=7651
dao zui hou 	到最後	c=1 d=1 t=5290
date 	date	c=1 d=1 t=4853
de 	的	c=407 d=8.53108 t=11992
de ba 	的吧	c=1 d=1 t=894
de bei 	的唄	c=1 d=1 t=7248
de bu 	得不	c=0 d=0.1 t=751
de duo 	得多	c=3 d=1 t=7046
de hao chu 	的好處	c=1 d=1 t=3409
de hen 	得很	c=6 d=0.634448 t=11992
de hua 	的話	c=6 d=0.203329 t=9924
de ma 	的嗎	c=1 d=0.226818 t=7033
de qin 	德勤	c=7 d=1.73613 t=7194
de shi 	的事	c=1 d=1 t=3483
de shi jian 	的時間	c=1 d=1 t=9954
de yi pi 	的一匹	c=1 d=0.1 t=8512
dei 	得	c=9 d=0.733447 t=11992
dei kan kan 	得看看	c=1 d=1 t=130
deng 	燈	c=4 d=1.916 t=3542
deng 	等	c=9 d=1.00015 t=11847
deng dao 	登到	c=1 d=1 t=1206
deng deng 	等等	c=3 d=1.00242 t=8650
deng ha 	等哈	c=5 d=1.02531 t=5598
deng hui 	燈會	c=1 d=1 t=2817
deng hui 	等會	c=2 d=1 t=6215
deng jin qu 	等進去	c=1 d=1 t=10548
deng le 	等了	c=1 d=1 t=4700
deng lu 	登陸	c=1 d=1 t=8045
deng ni 	等你	c=5 d=1.05004 t=10248
deng ta 	燈塔	c=1 d=1 t=425
deng wo 	等我	c=11 d=1 t=11958
deng yi 	鄧倚	c=0 d=0.1 t=5655
deng yi ha 	等一哈	c=2 d=1.04954 t=6258
deng yi ha 	鄧倚哈	c=1 d=1 t=5656
deng zhe 	等着	c=2 d=1 t=5188
deng zhou liu 	等週六	c=1 d=1 t=2027
di 	滴	c=0 d=0.1 t=6028
di 	第	c=2 d=1.98511 t=6613
di bu guo 	敵不過	c=0 d=0.1 t=11812
di di 	弟弟	c=1 d=1.00484 t=3492
di dian 	地點	c=1 d=1 t=5674
di er 	地兒	c=0 d=0.1 t=2208
di er ba 	地兒把	c=1 d=1 t=2209
di er ge 	第二個	c=4 d=1.16797 t=6427
di er tian 	第二天	c=2 d=1.00285 t=8855
di fang 	地方	c=4 d=1.08937 t=7303
di kang li 	抵抗力	c=1 d=1 t=7643
di qiu 	地球	c=1 d=1 t=4138
di san ge 	第三個	c=2 d=1 t=10585
di tu 	地圖	c=2 d=1.7788 t=9541
di yi 	第一	c=1 d=1 t=11619
di yi ge 	第一個	c=5 d=0.1 t=9708
di yi shi jian 	第一時間	c=1 d=1 t=8349
di zhi 	地址	c=14 d=0.559753 t=11992
dian 	點	c=18 d=0.0564161 t=11992
dian bu liao 	點不了	c=1 d=1 t=11095
dian de 	點的	c=1 d=0.826959 t=11992
dian dian 	顛顛	c=0 d=0.1 t=8428
dian dian 	點點	c=1 d=0.106978 t=9423
dian ge 	點個	c=1 d=1 t=1469
dian jin lai 	點進來	c=1 d=0.1 t=10494
dian jin lai le 	點進來了	c=1 d=1 t=10495
dian jin qu 	點進去	c=2 d=1 t=10503
dian le 	點了	c=3 d=1 t=10442
dian le xia mian 	點了下麪	c=1 d=1 t=207
dian na ge 	點那個	c=1 d=1 t=242
dian nao 	電腦	c=4 d=0.00623495 t=11992
dian nao li 	電腦裏	c=1 d=0.0804596 t=11992
dian shi ju 	電視劇	c=3 d=1.34298 t=9183
dian xin 	電信	c=3 d=1.20414 t=8223
dian yi xia 	點一下	c=4 d=1 t=10520
dian zi 	電子	c=0 d=0.1 t=5561
dian zi gong dan 	電子工單	c=1 d=1 t=5562
dian zi ke 	電子科	c=0 d=0.1 t=5459
dian zi ke da 	電子科大	c=1 d=1 t=5460
diao 	叼	c=1 d=1 t=3100
diao 	掉	c=5 d=1 t=11785
diao 	調	c=9 d=2.17034 t=7786
diao du 	調度	c=10 d=2.36057 t=10025
diao du ren yuan 	調度人員	c=1 d=1 t=1499
diao le 	調了	c=2 d=1 t=6938
diao ping 	掉瓶	c=1 d=1 t=8825
diao yong 	調用	c=4 d=1 t=7782
ding 	定	c=4 d=1.22993 t=5823
ding bu xia lai ming zi 	定補下來名字	c=1 d=1 t=3116
ding bu zhu 	頂不住	c=1 d=1 t=4917
ding dan 	訂單	c=8 d=2.63717 t=11558
ding dan guan li 	訂單管理	c=4 d=1.31049 t=11744
ding dan hao 	訂單號	c=3 d=2.55375 t=2235
ding dang 	叮噹	c=0 d=0.1 t=841
ding dang mao 	叮噹貓	c=1 d=1 t=842
ding de 	定的	c=2 d=1.38868 t=7745
ding duo 	頂多	c=1 d=1 t=9099
ding e 	定額	c=2 d=1.90484 t=8277
ding le 	定了	c=1 d=1 t=2949
ding shi ren wu 	定時任務	c=1 d=1 t=1820
ding si 	定死	c=1 d=1 t=4987
ding xia lai 	定下來	c=2 d=1.98511 t=6152
diu 	丟	c=0 d=0.1 t=9988
diu gei wo 	丟給我	c=2 d=1.98511 t=9992
dong 	動	c=1 d=0.0287246 t=11992
dong de 	懂得	c=1 d=1 t=3656
dong li 	動力	c=0 d=0.1 t=2114
dong qi lai 	動起來	c=1 d=1 t=6392
dong xi 	東西	c=8 d=0.29247 t=11992
dong xi le 	東西了	c=1 d=1 t=10003
dong yi xia 	動一下	c=1 d=1 t=4907
dong zuo 	動作	c=1 d=1 t=10528
dou 	都	c=25 d=0.896942 t=11992
dou bei 	都被	c=0 d=0.1 t=3877
dou bei fa xian 	都被发现	c=1 d=1 t=11736
dou bei ni 	都被你	c=1 d=1 t=7017
dou bei ta 	都被他	c=1 d=1 t=3878
dou bu 	都不	c=1 d=0.0735345 t=11992
dou bu guo 	鬥不過	c=0 d=0.1 t=4176
dou bu guo ni 	鬥不過你	c=1 d=1 t=4177
dou bu hao 	都不好	c=1 d=1 t=998
dou bu hao shuo 	都不好說	c=1 d=1 t=11637
dou bu shi 	都不是	c=1 d=0.806541 t=11992
dou bu xiang wen 	都不想問	c=1 d=0.0378168 t=11992
dou bu xing 	都不行	c=2 d=1.79057 t=93
dou bu yong 	都不用	c=1 d=1 t=4290
dou bu zai 	都不在	c=0 d=0.1 t=9553
dou bu zai hui diao 	都不在毀掉	c=1 d=1 t=9554
dou chu lai 	都出來	c=0 d=0.1 t=921
dou chu lai le 	都出來了	c=1 d=1 t=922
dou chu qu 	都出去	c=1 d=1 t=9048
dou dou feng 	兜兜風	c=1 d=1 t=4801
dou fan hui 	都返回	c=1 d=1 t=5844
dou fang jia 	都放假	c=1 d=1 t=10903
dou feng 	兜風	c=1 d=1 t=4799
dou gei 	都給	c=1 d=1 t=9538
dou gei ni 	都給你	c=1 d=1 t=2661
dou hai 	都還	c=1 d=1 t=4666
dou hao 	逗號	c=1 d=1 t=802
dou hao kan 	都好看	c=1 d=1 t=3893
dou hui 	都會	c=1 d=1 t=5254
dou hui qu 	都回去	c=1 d=1 t=3578
dou jia le 	都加了	c=1 d=1 t=4779
dou ke yi 	都可以	c=3 d=1.00048 t=10403
dou liao 	都聊	c=1 d=1 t=847
dou mei 	都沒	c=5 d=1.0068 t=11478
dou mei fu xi 	都沒復習	c=1 d=1 t=6816
dou mei kong kan 	都沒空看	c=1 d=1 t=5426
dou mei nong guo 	都沒弄過	c=1 d=1 t=10319
dou mei qing 	都沒請	c=1 d=1 t=1578
dou mei wen ti 	都沒問題	c=2 d=1 t=4865
dou mei yi si 	都沒意思	c=1 d=1 t=10708
dou mei you 	都沒有	c=1 d=0.0265162 t=11992
dou mei zen me 	都沒怎麼	c=2 d=1.00001 t=5916
dou mei zen me kan 	都沒怎麼看	c=1 d=1 t=2071
dou nong 	鬥弄	c=0 d=0.1 t=8540
dou nong le 	鬥弄了	c=1 d=1 t=8541
dou pei zhi 	都配置	c=1 d=1 t=89
dou qu 	都去	c=1 d=1 t=6010
dou shi 	都是	c=17 d=1.17002 t=11992
dou shi mei wen ti 	都是沒問題	c=1 d=1 t=10795
dou shi xie 	都是寫	c=1 d=1 t=10705
dou shuo 	都說	c=1 d=1 t=3767
dou ting 	都聽	c=0 d=0.1 t=6583
dou ting dao de 	都聽到的	c=1 d=1 t=6584
dou ting ta shuo 	都聽他說	c=1 d=1 t=10832
dou xing 	都行	c=1 d=1 t=79
dou yan zheng 	都驗證	c=1 d=1 t=7027
dou yao 	都要	c=0 d=0.1 t=10365
dou yi yang 	都一樣	c=1 d=1 t=3500
dou yin 	抖音	c=1 d=1 t=4335
dou you 	都有	c=4 d=1.00072 t=7482
dou you de 	都有的	c=1 d=1 t=2941
dou yun xing 	都運行	c=1 d=1 t=133
dou zou 	都走	c=0 d=0.1 t=10786
dou zou wan le 	都走完了	c=1 d=1 t=10787
dou zuo 	都做	c=1 d=1 t=9609
du 	都	c=1 d=0.102797 t=11992
du qu 	讀取	c=1 d=1 t=2320
du zi 	肚子	c=1 d=1 t=6390
duan 	斷	c=1 d=1 t=3465
duan 	端	c=2 d=1 t=4239
duan ju 	斷句	c=1 d=1 t=803
duan lian 	煅煉	c=2 d=1 t=6398
duan wang 	斷網	c=0 d=0.1 t=930
duan wang le 	斷網了	c=1 d=1 t=931
duan xin 	短信	c=7 d=2.27516 t=6942
dui 	對	c=10 d=1 t=11182
dui 	懟	c=3 d=1.56877 t=6829
dui bi 	對筆	c=0 d=0.1 t=5307
dui bi xia 	對筆下	c=1 d=1 t=5308
dui de 	對的	c=1 d=1 t=97
dui fen fa 	對分法	c=0 d=0.1 t=5188
dui le 	對了	c=1 d=1 t=8185
dui ni 	對你	c=2 d=1 t=10635
dui ni men 	對妳們	c=1 d=1 t=1128
dui wo 	對我	c=1 d=1 t=9188
dui wu 	隊伍	c=1 d=1 t=1812
dui ya 	對呀	c=1 d=1 t=6261
dui ying 	對應	c=2 d=1.66365 t=11212
dui zhe 	對着	c=0 d=0.1 t=7577
dui zhe shai 	對着曬	c=1 d=1 t=7578
dun 	頓	c=1 d=1 t=2420
duo 	多	c=14 d=1.00701 t=11634
duo ban 	多半	c=1 d=1 t=44
duo bu 	多部	c=0 d=0.1 t=9147
duo chuan yi ge 	多傳一個	c=1 d=1 t=3177
duo de 	多的	c=2 d=1.65235 t=8260
duo dian dian 	多點點	c=1 d=1 t=9424
duo fa 	多發	c=0 d=0.1 t=10345
duo fa dian 	多發點	c=1 d=1 t=10346
duo ge 	多個	c=2 d=1 t=5643
duo hang 	多行	c=1 d=1 t=2259
duo hao de 	多好的	c=1 d=1 t=11609
duo jiu 	多久	c=5 d=1 t=9324
duo jiu 	多就	c=1 d=1 t=3017
duo ke pu 	多科普	c=1 d=1 t=6202
duo keng 	多坑	c=1 d=1.09501 t=8706
duo le 	多了	c=2 d=1.06687 t=5881
duo le ge 	多了個	c=2 d=1.08629 t=693
duo shao 	多少	c=8 d=1.00031 t=11434
duo shao ge 	多少個	c=1 d=1 t=11629
duo shao qian 	多少錢	c=1 d=1 t=6233
duo xiu xi 	多休息	c=1 d=1 t=8801
duo xuan 	多選	c=2 d=1.98511 t=2403
duo yi ge 	多一個	c=1 d=1 t=1125
duo zhe 	多這	c=1 d=1 t=3657
e 	俄	c=2 d=1.00914 t=4803
e 	額	c=67 d=0.749647 t=11992
e 	餓	c=1 d=1 t=4916
e fa fu da shai fa 	額髮膚大篩法	c=1 d=1 t=5603
e luo si 	俄羅斯	c=1 d=1 t=4373
e yu 	俄語	c=1 d=1 t=4319
en 	恩	c=48 d=0.350901 t=11992
en a 	嗯啊	c=1 d=1 t=7851
en en 	嗯嗯	c=123 d=2.26177 t=11992
en ne 	恩呢	c=7 d=1.25954 t=9059
er 	二	c=1 d=0.100172 t=6209
er 	兒	c=0 d=0.100093 t=4221
er ben 	二本	c=3 d=1.94007 t=6605
er ji 	耳機	c=2 d=1.91393 t=8422
er lou 	二樓	c=1 d=1 t=6011
er qie 	而且	c=2 d=1.0001 t=3498
er ren 	二人	c=1 d=0.020141 t=11992
er ru 	而入	c=0 d=0.1 t=3982
er ru ou ren 	而入偶人	c=1 d=1 t=3983
er san 	二三	c=0 d=0.1 t=762
er san shi wan 	二三十萬	c=1 d=1 t=763
er shi 	二十	c=1 d=0.151829 t=11992
er shi 	而使	c=1 d=1 t=9184
er shi 	而是	c=1 d=1 t=9185
er shi ji 	二十幾	c=2 d=0.331297 t=11992
er wei 	二維	c=0 d=0.1 t=5228
er wei ma 	二維碼	c=1 d=1 t=1438
er wei qi re fa 	二維奇熱發	c=1 d=1 t=5229
er yi 	而已	c=3 d=1 t=10567
er yue 	二月	c=4 d=3.36766 t=8359
er zi 	兒子	c=1 d=1 t=3364
fa 	法	c=1 d=1 t=11473
fa 	發	c=10 d=0.0342181 t=11992
fa ban 	發版	c=7 d=1.26192 t=9329
fa chu 	發出	c=1 d=1 t=10416
fa chu lai 	發出來	c=5 d=1.03065 t=10461
fa chu qu 	發出去	c=2 d=1.67032 t=6906
fa chuan ce 	發穿測	c=2 d=1.15335 t=2822
fa de 	發的	c=7 d=0.249925 t=11072
fa ding 	法定	c=1 d=1 t=9813
fa duan xin 	發短信	c=2 d=1.07317 t=5165
fa fu 	髮膚	c=0 d=0.1 t=5602
fa gei 	發給	c=2 d=1.00027 t=6866
fa gei 	罰給	c=1 d=1 t=2302
fa gei ni 	發給你	c=3 d=1 t=9004
fa gei wo 	發給我	c=4 d=1 t=10611
fa guo 	發過	c=1 d=1 t=8996
fa guo lai 	發過來	c=2 d=1.8781 t=488
fa jin 	罰進	c=1 d=1 t=6844
fa le 	發了	c=7 d=0.192887 t=10412
fa le ba 	發了吧	c=1 d=1 t=6801
fa le ge 	發了個	c=1 d=0.13143 t=11105
fa le yi ai 	發了一愛	c=1 d=1 t=8453
fa le yi ban 	發了一版	c=2 d=1.00001 t=8457
fa piao 	發票	c=5 d=3.96737 t=8310
fa piao ma 	發票嗎	c=1 d=1 t=8156
fa quan 	發全	c=1 d=1 t=7472
fa shang qu 	法上去	c=2 d=1 t=8535
fa shi bai le 	發失敗了	c=1 d=1 t=2059
fa song 	發送	c=2 d=1.07427 t=5051
fa wan ban 	發晚班	c=1 d=1 t=9345
fa wo 	發我	c=10 d=1.17907 t=11863
fa wo kan xia 	發我看下	c=1 d=1 t=6761
fa wo kan xia ai 	發我看下唉	c=1 d=1 t=4567
fa wo xia 	發我下	c=9 d=1.00005 t=10454
fa wo yi ge 	發我一個	c=1 d=1 t=3064
fa xia 	發下	c=0 d=0.1 t=256
fa yi ge 	發一個	c=2 d=1 t=11046
fa yi xia 	發一下	c=5 d=1.00115 t=11839
fa yu xi 	法語系	c=0 d=0.1 t=7421
fa yu xi ai 	法語系唉	c=1 d=1 t=7422
fa zhan 	發展	c=1 d=1 t=9621
fan 	范	c=1 d=1 t=10276
fan 	飯	c=1 d=1 t=2421
fan de sa 	范德薩	c=0 d=0.1 t=5188
fan de sa dui fen fa da fu du 	范德薩對分法大幅度	c=1 d=1 t=5189
fan hui 	返回	c=3 d=1.0754 t=10913
fan hui zhi 	返回值	c=2 d=1.97531 t=2755
fan she hu 	反射弧	c=1 d=1 t=4404
fan yi 	翻譯	c=2 d=1 t=4320
fan zheng 	反正	c=3 d=1.00475 t=6262
fan zheng shi 	反正是	c=1 d=1 t=2033
fan zheng ye mai bu qi 	反正也買不起	c=1 d=1 t=3399
fang 	房	c=2 d=1 t=7132
fang 	放	c=5 d=1.00231 t=11679
fang 	方	c=4 d=0.245367 t=11992
fang ban tian 	放半天	c=1 d=1 t=9806
fang bian 	方便	c=6 d=0.348193 t=11992
fang bian de 	方便的	c=1 d=1 t=9063
fang bian xie 	方便些	c=1 d=1 t=8406
fang bu dao 	放不到	c=1 d=1 t=10889
fang bu xia 	放不下	c=1 d=1 t=2335
fang dai 	放貸	c=1 d=1 t=7129
fang dao 	放倒	c=2 d=1.91393 t=191
fang de xia 	放得下	c=1 d=0.991366 t=9102
fang fa 	訪法	c=1 d=1 t=4767
fang fan 	防範	c=1 d=0.0325493 t=11992
fang hao wei 	方皓偉	c=1 d=1 t=796
fang jia 	放假	c=1 d=0.575205 t=10902
fang jia le 	放假了	c=1 d=0.837123 t=10640
fang jia le yo 	放假了喲	c=1 d=1 t=10641
fang jia li 	放假裏	c=1 d=1 t=10887
fang jian 	房間	c=2 d=0.827559 t=11992
fang jin lai 	放進來	c=1 d=1 t=1863
fang jin qu 	放進去	c=2 d=1 t=6472
fang jiu le 	放久了	c=2 d=1.93239 t=10934
fang kai 	放開	c=1 d=1 t=6116
fang le 	放了	c=1 d=1 t=11435
fang qi 	放棄	c=1 d=1 t=4067
fang qi 	放起	c=1 d=1 t=2171
fang shang qu 	放上去	c=1 d=1 t=10615
fang zai 	放在	c=3 d=1 t=9227
fang zai 	防災	c=1 d=1 t=1067
fang zhe 	放着	c=2 d=0.1 t=11682
fang zhe bei 	放着唄	c=1 d=1 t=11683
fang zhi 	放置	c=1 d=1 t=4503
fang zi 	房子	c=2 d=0.0263839 t=11992
fang zong 	放縱	c=0 d=0.1 t=7646
fang zong zi ji 	放縱自己	c=1 d=1 t=7647
fei 	費	c=0 d=0.1 t=5549
fei 	飛	c=0 d=0.1 t=538
fei chang 	非常	c=1 d=1 t=7579
fei hua 	廢話	c=1 d=1 t=3050
fei jin 	費勁	c=0 d=0.1 t=9968
fei ni 	非你	c=0 d=0.1 t=7925
fei qi 	廢棄	c=1 d=1 t=9857
fei rou 	肥肉	c=0 d=0.1 t=10201
fei yao 	非要	c=1 d=1 t=9637
fen 	分	c=2 d=1 t=4181
fen hao 	分號	c=1 d=1 t=2341
fen ji 	分級	c=0 d=0.00325493 t=11992
fen jin 	奮進	c=1 d=1 t=7013
fen shi an 	分屍案	c=0 d=0.1 t=5189
fen xi 	分析	c=1 d=1 t=11407
fen ye 	分頁	c=1 d=1 t=6489
fen zheng rou 	粉蒸肉	c=1 d=1 t=8102
fen zhong 	分鐘	c=4 d=1 t=10055
feng 	風	c=0 d=0.1 t=915
feng 	馮	c=2 d=1 t=9821
feng bi jiao da 	風比較大	c=1 d=1 t=916
feng da 	風大	c=0 d=0.125555 t=5601
feng da fen shi an san fang 	風大分屍案三房	c=1 d=1 t=5190
feng da ka fei jian da la si san fang jie kou da sheng fo jiao 	風大咖啡鹼達拉斯三房接口大乘佛教	c=1 d=1 t=5191
feng da san fang da shi fu 	風大三房大師父	c=1 d=1 t=5602
feng er 	風兒	c=0 d=0.1 t=9784
feng qiu 	馮秋	c=6 d=1.00049 t=11079
feng sha 	風沙	c=2 d=1.90484 t=3761
feng xian 	風險	c=0 d=0.1 t=10396
feng xian zi chan 	風險資產	c=1 d=1 t=10397
feng zhuang 	封裝	c=0 d=0.1 t=7136
feng zhuang le yi xia 	封裝了一下	c=1 d=1 t=7137
fou ze 	否則	c=1 d=1 t=10961
fu he 	符合	c=1 d=1 t=9645
fu he ni 	符合你	c=1 d=1 t=1232
fu ka 	副卡	c=1 d=1 t=7765
fu la ji mi er 	弗拉基米爾	c=1 d=1 t=4448
fu li 	福利	c=3 d=2.55546 t=5576
fu ren 	婦人	c=0 d=0.1 t=11676
fu ren jie 	婦人節	c=1 d=1 t=11677
fu shu ji 	副書記	c=1 d=1 t=4248
fu wu 	服務	c=11 d=0.794005 t=11992
fu wu qi 	服務器	c=8 d=0.0308977 t=11992
fu wu zhong xin 	服務中心	c=1 d=1 t=10952
fu wu zhuang tai tai 	服務狀態臺	c=1 d=1 t=11489
fu xi 	復習	c=4 d=0.199306 t=6830
fu yin jian 	復印件	c=1 d=1 t=1052
fu zhi 	複製	c=11 d=0.135669 t=10461
fu zhi jin lai 	複製進來	c=2 d=1.87372 t=254
fu zhi jin qu 	複製進去	c=1 d=1 t=148
ga 	噶	c=1 d=1 t=8427
gai 	改	c=17 d=1.77882 t=11035
gai 	該	c=1 d=0.22091 t=11992
gai cheng 	改成	c=8 d=1.14183 t=10989
gai cheng 	該城	c=1 d=1 t=151
gai dao 	改到	c=2 d=1 t=8793
gai de 	改得	c=3 d=1 t=5951
gai di zhi 	改地址	c=1 d=1 t=5703
gai ge 	改個	c=1 d=1 t=9391
gai le 	改了	c=5 d=1.00365 t=11662
gai le jiu xing 	改了就行	c=1 d=1 t=7665
gai le mei 	改了沒	c=1 d=1 t=10984
gai ming zi 	改名字	c=2 d=1.96079 t=8504
gai nian 	概念	c=1 d=1.09656 t=10098
gai nian she ji 	概念設計	c=1 d=0.0135685 t=11992
gai nian ye 	概念頁	c=2 d=1.39653 t=10277
gai shan 	改善	c=0 d=0.1 t=3880
gai shan yi xia 	改善一下	c=1 d=1 t=3881
gai shuo 	該說	c=2 d=1.82696 t=5127
gai tian 	改天	c=1 d=1 t=5125
gai wan 	改完	c=0 d=0.1 t=6310
gai wan le 	改完了	c=1 d=1 t=8511
gai wan le de 	改完了的	c=1 d=1 t=6311
gai wei 	改為	c=1 d=1 t=7538
gai xia 	改下	c=3 d=1 t=11403
gai xu qiu 	改需求	c=1 d=1 t=6159
gai yi xia 	改一下	c=1 d=0.1 t=10982
gai you 	該有	c=0 d=0.1 t=10354
gai you de 	該有的	c=2 d=1.07317 t=10878
gai zhou yi 	改週一	c=1 d=1 t=8836
gan 	幹	c=4 d=1 t=9961
gan 	感	c=0 d=0.1 t=10355
gan cui 	乾脆	c=2 d=1 t=4660
gan dong 	敢動	c=0 d=0.1 t=11592
gan ga 	尷尬	c=3 d=1.00025 t=11444
gan jin 	趕緊	c=4 d=0.0301974 t=11992
gan jing 	乾淨	c=1 d=1 t=3092
gan jue 	感覺	c=5 d=0.36788 t=11992
gan mao 	感冒	c=3 d=1 t=4949
gan mao le 	感冒了	c=1 d=1 t=710
gan ni 	幹你	c=1 d=1 t=6462
gan sha 	乾啥	c=0 d=0.1 t=792
gan zhe 	趕着	c=1 d=1 t=9974
gang 	剛	c=2 d=0.00352602 t=11992
gang cai 	剛才	c=8 d=0.305789 t=11992
gang cai chu li wen ti 	剛才處理問題	c=1 d=1 t=3122
gang cai shi le xia 	剛才試了下	c=1 d=1 t=4368
gang guo lai 	剛過來	c=1 d=1 t=5592
gang kai hui 	剛開會	c=1 d=1 t=7824
gang shuo wan 	剛說完	c=1 d=1 t=10619
gang wan 	港灣	c=0 d=0.1 t=1427
gang zai 	剛在	c=1 d=1 t=6772
gao 	搞	c=5 d=1 t=10918
gao 	高	c=6 d=0.100032 t=10222
gao bu liao 	搞不了	c=1 d=1 t=7266
gao cheng 	搞成	c=0 d=0.1 t=1288
gao dao 	搞到	c=4 d=1.98511 t=10122
gao de 	搞得	c=1 d=1 t=7033
gao ding 	搞定	c=2 d=0.100561 t=2077
gao ding mei 	搞定沒	c=1 d=1 t=2078
gao ge 	搞個	c=2 d=1 t=11988
gao ge dan zi 	搞個單子	c=1 d=1 t=840
gao gong 	高工	c=1 d=1 t=6195
